provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio
"Balears, Illes",2016,1744,12261,-10517,-6.0304,-2515,49
"Balears, Illes",2017,6161,13787,-7626,-1.2378,2891,45
"Balears, Illes",2018,8570,14148,-5578,-0.6509,2048,41
"Balears, Illes",2019,7168,15528,-8360,-1.1663,-2782,46
"Balears, Illes",2020,5296,14006,-8710,-1.6446,-350,49
"Balears, Illes",2021,13717,15509,-1792,-0.1306,6918,36
Barcelona,2008,5770,54264,-48494,-8.4045,,51
Barcelona,2009,19579,50037,-30458,-1.5556,18036,51
Barcelona,2010,9477,49101,-39624,-4.1811,-9166,51
Barcelona,2011,6606,47425,-40819,-6.1791,-1195,51
