Comunidad Autónoma,Provincia,año,cob_100mbps
Pais Vasco,Bizkaia,2020,0.9692700822638916
Pais Vasco,Bizkaia,2021,0.9418266837036404
Pais Vasco,Bizkaia,2022,0.9471397017604661
Pais Vasco,Bizkaia,2023,0.9693250978119113
Pais Vasco,Bizkaia,2024,0.9765772689128177
Castilla Y León,Burgos,2013,0.6328663322072173
Castilla Y León,Burgos,2014,0.6330150016814411
Castilla Y León,Burgos,2015,0.6514179622629034
Castilla Y León,Burgos,2016,0.666084897604048
Castilla Y León,Burgos,2017,0.6876654921086793
Castilla Y León,Burgos,2018,0.7039008707042904
Castilla Y León,Burgos,2019,0.7257063661333346
Castilla Y León,Burgos,2020,0.7604175773030031
Castilla Y León,Burgos,2021,0.7180412796233404
Castilla Y León,Burgos,2022,0.7480658142884721
Castilla Y León,Burgos,2023,0.8140836880595791
Castilla Y León,Burgos,2024,0.8225852050799414
Cantabria,Cantabria,2013,0.6255120898499489
Cantabria,Cantabria,2014,0.6274574560233662
Cantabria,Cantabria,2015,0.6354429529139237
Cantabria,Cantabria,2016,0.6588661937537803
Cantabria,Cantabria,2017,0.6833379190752589
Cantabria,Cantabria,2018,0.7515347198746338
Cantabria,Cantabria,2019,0.7554729717039936
Cantabria,Cantabria,2020,0.7699504977219006
Cantabria,Cantabria,2021,0.9189202350420413
Cantabria,Cantabria,2022,0.9445692206160986
Cantabria,Cantabria,2023,0.9644762941721826
Cantabria,Cantabria,2024,0.9753706257541803
Comunitat Valenciana,Castellón/Castelló,2013,0.6563366554025485
Comunitat Valenciana,Castellón/Castelló,2014,0.6568044816728218
Comunitat Valenciana,Castellón/Castelló,2015,0.6596681955936123
Comunitat Valenciana,Castellón/Castelló,2016,0.6747979551265632
Comunitat Valenciana,Castellón/Castelló,2017,0.7101535772890767
Comunitat Valenciana,Castellón/Castelló,2018,0.7901861264747421
Comunitat Valenciana,Castellón/Castelló,2019,0.8197025678865058
Comunitat Valenciana,Castellón/Castelló,2020,0.9031362417188123
Comunitat Valenciana,Castellón/Castelló,2021,0.8644639447416236
Comunitat Valenciana,Castellón/Castelló,2022,0.8986490456540309
Comunitat Valenciana,Castellón/Castelló,2023,0.9369320196953576
Comunitat Valenciana,Castellón/Castelló,2024,0.9475333117269691
Ciudad Autónoma De Ceuta,Ceuta,2013,0.4385864176473111
Ciudad Autónoma De Ceuta,Ceuta,2014,0.8705839882462795
Ciudad Autónoma De Ceuta,Ceuta,2015,0.8625608809784472
