ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Castilla Y León,Salamanca,2023,78.3451,9.4787,48
Castilla Y León,Salamanca,2024,85.2069,6.8618,43
Canarias,Santa Cruz De Tenerife,2013,31.806,,35
Canarias,Santa Cruz De Tenerife,2014,33.2566,1.4506,38
Canarias,Santa Cruz De Tenerife,2015,44.2511,10.9945,36
Canarias,Santa Cruz De Tenerife,2016,52.0407,7.7896,31
Canarias,Santa Cruz De Tenerife,2017,59.952,7.9113,30
Canarias,Santa Cruz De Tenerife,2018,73.2225,13.2705,24
Canarias,Santa Cruz De Tenerife,2019,75.7666,2.5441,25
Canarias,Santa Cruz De Tenerife,2020,83.5677,7.8011,24
Canarias,Santa Cruz De Tenerife,2021,92.7094,9.1417,12
Canarias,Santa Cruz De Tenerife,2022,94.1233,1.4139,10
Canarias,Santa Cruz De Tenerife,2023,91.959,-2.1643,32
Canarias,Santa Cruz De Tenerife,2024,94.3626,2.4036,21
Castilla Y León,Segovia,2013,28.8191,,41
Castilla Y León,Segovia,2014,29.0931,0.274,41
Castilla Y León,Segovia,2015,29.5248,0.4317,46
Castilla Y León,Segovia,2016,32.953,3.4282,48
Castilla Y León,Segovia,2017,42.6117,9.6587,48
Castilla Y León,Segovia,2018,50.8325,8.2208,48
Castilla Y León,Segovia,2019,52.7249,1.8924,49
Castilla Y León,Segovia,2020,70.1147,17.3898,45
Castilla Y León,Segovia,2021,70.8709,0.7562,42
Castilla Y León,Segovia,2022,78.6215,7.7506,40
Castilla Y León,Segovia,2023,85.5887,6.9672,39
Castilla Y León,Segovia,2024,89.0042,3.4155,40
Andalucía,Sevilla,2013,48.8299,,26
Andalucía,Sevilla,2014,60.7806,11.9507,20
Andalucía,Sevilla,2015,63.9421,3.1615,18
Andalucía,Sevilla,2016,68.5213,4.5792,16
Andalucía,Sevilla,2017,80.5416,12.0203,11
Andalucía,Sevilla,2018,87.226,6.6844,7
Andalucía,Sevilla,2019,92.0929,4.8669,6
Andalucía,Sevilla,2020,92.6213,0.5284,9
Andalucía,Sevilla,2021,92.7671,0.1458,11
Andalucía,Sevilla,2022,93.4929,0.7258,11
Andalucía,Sevilla,2023,96.4405,2.9476,9
Andalucía,Sevilla,2024,97.2546,0.8141,7
Castilla Y León,Soria,2013,45.4713,,29
Castilla Y León,Soria,2014,45.1987,-0.2726,30
Castilla Y León,Soria,2015,45.4877,0.289,34
Castilla Y León,Soria,2016,47.0743,1.5866,36
Castilla Y León,Soria,2017,51.1481,4.0738,42
Castilla Y León,Soria,2018,58.0467,6.8986,44
Castilla Y León,Soria,2019,54.8714,-3.1753,47
Castilla Y León,Soria,2020,65.6415,10.7701,48
Castilla Y León,Soria,2021,60.0799,-5.5616,49
Castilla Y León,Soria,2022,63.5319,3.452,50
Castilla Y León,Soria,2023,69.677,6.1451,52
Castilla Y León,Soria,2024,68.8,-0.877,52
Cataluña,Tarragona,2013,23.5256,,48
Cataluña,Tarragona,2014,23.0072,-0.5184,50
Cataluña,Tarragona,2015,32.0384,9.0312,45
Cataluña,Tarragona,2016,38.701,6.6626,44
Cataluña,Tarragona,2017,50.3376,11.6366,44
Cataluña,Tarragona,2018,59.7824,9.4448,41
Cataluña,Tarragona,2019,63.4452,3.6628,43
Cataluña,Tarragona,2020,73.923,10.4778,39
Cataluña,Tarragona,2021,82.2991,8.3761,33
Cataluña,Tarragona,2022,88.9289,6.6298,27
Cataluña,Tarragona,2023,93.8806,4.9517,17
Cataluña,Tarragona,2024,94.8617,0.9811,19
Aragón,Teruel,2013,1.5208,,52
Aragón,Teruel,2014,3.089,1.5682,52
Aragón,Teruel,2015,21.5447,18.4557,52
Aragón,Teruel,2016,25.3058,3.7611,52
Aragón,Teruel,2017,41.6781,16.3723,50
Aragón,Teruel,2018,48.4785,6.8004,51
Aragón,Teruel,2019,52.4984,4.0199,50
Aragón,Teruel,2020,58.7489,6.2505,50
Aragón,Teruel,2021,51.1337,-7.6152,52
Aragón,Teruel,2022,67.1101,15.9764,48
Aragón,Teruel,2023,82.7141,15.604,46
Aragón,Teruel,2024,75.1114,-7.6027,50
Castilla-La Mancha,Toledo,2013,21.123,,50
Castilla-La Mancha,Toledo,2014,21.6395,0.5165,51
Castilla-La Mancha,Toledo,2015,25.1257,3.4862,51
Castilla-La Mancha,Toledo,2016,29.1137,3.988,50
Castilla-La Mancha,Toledo,2017,46.076,16.9623,45
Castilla-La Mancha,Toledo,2018,61.3817,15.3057,39
Castilla-La Mancha,Toledo,2019,65.5938,4.2121,40
Castilla-La Mancha,Toledo,2020,76.7134,11.1196,33
Castilla-La Mancha,Toledo,2021,94.185,17.4716,6
Castilla-La Mancha,Toledo,2022,94.7229,0.5379,7
Castilla-La Mancha,Toledo,2023,96.088,1.3651,10
Castilla-La Mancha,Toledo,2024,95.7369,-0.3511,14
Comunitat Valenciana,Valencia/València,2013,77.8087,,6
Comunitat Valenciana,Valencia/València,2014,77.9703,0.1616,7
Comunitat Valenciana,Valencia/València,2015,79.9504,1.9801,7
Comunitat Valenciana,Valencia/València,2016,81.1738,1.2234,8
Comunitat Valenciana,Valencia/València,2017,84.5722,3.3984,8
Comunitat Valenciana,Valencia/València,2018,86.9637,2.3915,8
Comunitat Valenciana,Valencia/València,2019,90.3066,3.3429,9
Comunitat Valenciana,Valencia/València,2020,92.9275,2.6209,7
Comunitat Valenciana,Valencia/València,2021,92.0446,-0.8829,15
Comunitat Valenciana,Valencia/València,2022,92.6545,0.6099,15
Comunitat Valenciana,Valencia/València,2023,95.7734,3.1189,11
Comunitat Valenciana,Valencia/València,2024,96.191,0.4176,12
Castilla Y León,Valladolid,2013,67.6553,,8
Castilla Y León,Valladolid,2014,68.5744,0.9191,12
Castilla Y León,Valladolid,2015,69.0022,0.4278,14
Castilla Y León,Valladolid,2016,73.9063,4.9041,11
Castilla Y León,Valladolid,2017,77.435,3.5287,16
Castilla Y León,Valladolid,2018,83.5827,6.1477,14
Castilla Y León,Valladolid,2019,82.9073,-0.6754,18
Castilla Y León,Valladolid,2020,88.4945,5.5872,19
Castilla Y León,Valladolid,2021,90.4721,1.9776,18
Castilla Y León,Valladolid,2022,92.8672,2.3951,14
Castilla Y León,Valladolid,2023,93.966,1.0988,15
Castilla Y León,Valladolid,2024,96.8332,2.8672,11
Castilla Y León,Zamora,2013,44.0384,,31
Castilla Y León,Zamora,2014,44.0501,0.0117,33
Castilla Y León,Zamora,2015,44.3004,0.2503,35
Castilla Y León,Zamora,2016,44.2885,-0.0119,38
Castilla Y León,Zamora,2017,44.5796,0.2911,47
Castilla Y León,Zamora,2018,49.2196,4.64,49
Castilla Y León,Zamora,2019,51.7745,2.5549,51
Castilla Y León,Zamora,2020,55.5819,3.8074,52
Castilla Y León,Zamora,2021,53.5177,-2.0642,51
Castilla Y León,Zamora,2022,72.2263,18.7086,46
Castilla Y León,Zamora,2023,84.7228,12.4965,41
Castilla Y León,Zamora,2024,89.5091,4.7863,39
Aragón,Zaragoza,2013,54.405,,18
Aragón,Zaragoza,2014,70.5768,16.1718,10
Aragón,Zaragoza,2015,73.7412,3.1644,10
Aragón,Zaragoza,2016,76.7888,3.0476,10
Aragón,Zaragoza,2017,84.275,7.4862,9
Aragón,Zaragoza,2018,87.7923,3.5173,6
Aragón,Zaragoza,2019,87.2123,-0.58,12
Aragón,Zaragoza,2020,90.7255,3.5132,14
Aragón,Zaragoza,2021,85.9289,-4.7966,28
Aragón,Zaragoza,2022,86.2255,0.2966,33
Aragón,Zaragoza,2023,92.7433,6.5178,25
Aragón,Zaragoza,2024,91.4999,-1.2434,33
Castilla Y León,Ávila,2013,27.4269,,43
Castilla Y León,Ávila,2014,27.838,0.4111,43
Castilla Y León,Ávila,2015,28.1497,0.3117,48
Castilla Y León,Ávila,2016,33.106,4.9563,47
Castilla Y León,Ávila,2017,39.7906,6.6846,51
Castilla Y León,Ávila,2018,41.1051,1.3145,52
Castilla Y León,Ávila,2019,44.2271,3.122,52
Castilla Y León,Ávila,2020,57.1898,12.9627,51
Castilla Y León,Ávila,2021,59.4315,2.2417,50
Castilla Y León,Ávila,2022,66.7464,7.3149,49
Castilla Y León,Ávila,2023,74.3281,7.5817,50
Castilla Y León,Ávila,2024,79.5464,5.2183,48
