provincia,anyo,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita
Cantabria,2014,11982.0,588656.0,,,0.020355
Cantabria,2014,11982.0,286782.0,,,0.041781
Cantabria,2014,11982.0,301874.0,,,0.039692
Cantabria,2015,12912.0,585179.0,,,0.022065
Cantabria,2015,12912.0,284788.0,,,0.045339
Cantabria,2015,12912.0,300391.0,,,0.042984
Cantabria,2016,14223.0,582206.0,,,0.024429
Cantabria,2016,14223.0,282988.0,,,0.05026
Cantabria,2016,14223.0,299218.0,,,0.047534
Cantabria,2017,16620.0,580295.0,,,0.028641
Cantabria,2017,16620.0,281808.0,,,0.058976
Cantabria,2017,16620.0,298487.0,,,0.055681
Cantabria,2018,19425.0,580229.0,,,0.033478
Cantabria,2018,19425.0,281564.0,,,0.06899
Cantabria,2018,19425.0,298665.0,,,0.065039
Cantabria,2019,19011.0,581078.0,,,0.032717
Cantabria,2019,19011.0,281801.0,,,0.067463
Cantabria,2019,19011.0,299277.0,,,0.063523
Cantabria,2020,16779.0,582905.0,,,0.028785
Cantabria,2020,16779.0,282559.0,,,0.059382
Cantabria,2020,16779.0,300346.0,,,0.055866
Cantabria,2021,23085.0,584507.0,,,0.039495
Cantabria,2021,23085.0,283378.0,,,0.081464
Cantabria,2021,23085.0,301129.0,,,0.076661
Cantabria,2022,26304.0,,,,
Cantabria,2023,23601.0,,,,
Cantabria,2024,27423.0,,,,
Castellón/Castelló,1996,,456727.0,,,
Castellón/Castelló,1996,,225406.0,,,
Castellón/Castelló,1996,,231321.0,,,
Castellón/Castelló,1998,,461712.0,,,
Castellón/Castelló,1998,,228231.0,,,
Castellón/Castelló,1998,,233481.0,,,
Castellón/Castelló,1999,,467895.0,5795642.0,20014.0,
Castellón/Castelló,1999,,231578.0,5795642.0,20014.0,
Castellón/Castelló,1999,,236317.0,5795642.0,20014.0,
Castellón/Castelló,2000,,474385.0,5969404.0,20126.0,
Castellón/Castelló,2000,,235070.0,5969404.0,20126.0,
Castellón/Castelló,2000,,239315.0,5969404.0,20126.0,
Castellón/Castelló,2001,,485173.0,6322359.0,192596.0,
Castellón/Castelló,2001,,241143.0,6322359.0,192596.0,
Castellón/Castelló,2001,,244030.0,6322359.0,192596.0,
Castellón/Castelló,2002,,501237.0,7025651.0,207990.0,
Castellón/Castelló,2002,,250410.0,7025651.0,207990.0,
Castellón/Castelló,2002,,250827.0,7025651.0,207990.0,
Castellón/Castelló,2003,,518239.0,7691949.0,207392.0,
Castellón/Castelló,2003,,259437.0,7691949.0,207392.0,
Castellón/Castelló,2003,,258802.0,7691949.0,207392.0,
Castellón/Castelló,2004,,527345.0,8230403.0,228405.0,
Castellón/Castelló,2004,,264099.0,8230403.0,228405.0,
Castellón/Castelló,2004,,263246.0,8230403.0,228405.0,
Castellón/Castelló,2005,,543432.0,8589957.0,238924.0,
Castellón/Castelló,2005,,272714.0,8589957.0,238924.0,
Castellón/Castelló,2005,,270718.0,8589957.0,238924.0,
Castellón/Castelló,2006,,559761.0,9379633.0,237006.0,
Castellón/Castelló,2006,,281340.0,9379633.0,237006.0,
Castellón/Castelló,2006,,278421.0,9379633.0,237006.0,
Castellón/Castelló,2007,38472.0,573282.0,9165189.0,241948.0,0.067108
Castellón/Castelló,2007,38472.0,288079.0,9165189.0,241948.0,0.133547
Castellón/Castelló,2007,38472.0,285203.0,9165189.0,241948.0,0.134893
Castellón/Castelló,2008,32178.0,594915.0,8104623.0,239705.0,0.054088
Castellón/Castelló,2008,32178.0,299829.0,8104623.0,239705.0,0.107321
Castellón/Castelló,2008,32178.0,295086.0,8104623.0,239705.0,0.109046
