provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita,cob_100mbps_pct,ranking_anio
Alicante/Alacant,2008,1945,22239,-20294,-10.4339,,50,96333.0,943954.0,36918532.0,906659.0,0.102053,,
Alicante/Alacant,2009,18616,22248,-3632,-0.1951,16662,38,71016.0,1917012.0,34943031.0,915190.0,0.037045,,
Alicante/Alacant,2009,18616,22248,-3632,-0.1951,16662,38,71016.0,958200.0,34943031.0,915190.0,0.074114,,
Alicante/Alacant,2009,18616,22248,-3632,-0.1951,16662,38,71016.0,958812.0,34943031.0,915190.0,0.074067,,
Alicante/Alacant,2010,7230,20842,-13612,-1.8827,-9980,49,74199.0,1926285.0,35830395.0,913888.0,0.038519,,
Alicante/Alacant,2010,7230,20842,-13612,-1.8827,-9980,49,74199.0,961733.0,35830395.0,913888.0,0.077151,,
Alicante/Alacant,2010,7230,20842,-13612,-1.8827,-9980,49,74199.0,964552.0,35830395.0,913888.0,0.076926,,
Alicante/Alacant,2011,8454,19565,-11111,-1.3143,2501,48,65271.0,1934127.0,37304918.0,907026.0,0.033747,,
Alicante/Alacant,2011,8454,19565,-11111,-1.3143,2501,48,65271.0,964560.0,37304918.0,907026.0,0.067669,,
Alicante/Alacant,2011,8454,19565,-11111,-1.3143,2501,48,65271.0,969567.0,37304918.0,907026.0,0.06732,,
Alicante/Alacant,2012,4046,18732,-14686,-3.6298,-3575,50,65418.0,1943910.0,36714764.0,911343.0,0.033653,,
Alicante/Alacant,2012,4046,18732,-14686,-3.6298,-3575,50,65418.0,969237.0,36714764.0,911343.0,0.067494,,
Alicante/Alacant,2012,4046,18732,-14686,-3.6298,-3575,50,65418.0,974673.0,36714764.0,911343.0,0.067118,,
Alicante/Alacant,2013,6988,17629,-10641,-1.5228,4045,49,71955.0,1945642.0,38534703.0,911688.0,0.036983,50.8892,21.0
Alicante/Alacant,2013,6988,17629,-10641,-1.5228,4045,49,71955.0,968927.0,38534703.0,911688.0,0.074263,50.8892,21.0
Alicante/Alacant,2013,6988,17629,-10641,-1.5228,4045,49,71955.0,976715.0,38534703.0,911688.0,0.07367,50.8892,21.0
Alicante/Alacant,2014,1672,18248,-16576,-9.9139,-5935,50,73170.0,1868438.0,38948751.0,915809.0,0.039161,52.35,23.0
Alicante/Alacant,2014,1672,18248,-16576,-9.9139,-5935,50,73170.0,928519.0,38948751.0,915809.0,0.078803,52.35,23.0
Alicante/Alacant,2014,1672,18248,-16576,-9.9139,-5935,50,73170.0,939919.0,38948751.0,915809.0,0.077847,52.35,23.0
Alicante/Alacant,2015,3766,17966,-14200,-3.7706,2376,49,80574.0,1855047.0,40672244.0,1317961.0,0.043435,59.275,21.0
Alicante/Alacant,2015,3766,17966,-14200,-3.7706,2376,49,80574.0,920920.0,40672244.0,1317961.0,0.087493,59.275,21.0
Alicante/Alacant,2015,3766,17966,-14200,-3.7706,2376,49,80574.0,934127.0,40672244.0,1317961.0,0.086256,59.275,21.0
Alicante/Alacant,2016,9015,17438,-8423,-0.9343,5777,44,89067.0,1836459.0,43723516.0,1333381.0,0.048499,61.1285,24.0
Alicante/Alacant,2016,9015,17438,-8423,-0.9343,5777,44,89067.0,911173.0,43723516.0,1333381.0,0.09775,61.1285,24.0
Alicante/Alacant,2016,9015,17438,-8423,-0.9343,5777,44,89067.0,925286.0,43723516.0,1333381.0,0.096259,61.1285,24.0
Alicante/Alacant,2017,11490,16837,-5347,-0.4654,3076,43,104151.0,1825332.0,44870341.0,1364795.0,0.057059,70.6984,20.0
Alicante/Alacant,2017,11490,16837,-5347,-0.4654,3076,43,104151.0,904711.0,44870341.0,1364795.0,0.115121,70.6984,20.0
Alicante/Alacant,2017,11490,16837,-5347,-0.4654,3076,43,104151.0,920621.0,44870341.0,1364795.0,0.113131,70.6984,20.0
Alicante/Alacant,2018,2924,17178,-14254,-4.8748,-8907,49,118197.0,1838819.0,44839771.0,1390712.0,0.064279,79.7763,18.0
Alicante/Alacant,2018,2924,17178,-14254,-4.8748,-8907,49,118197.0,911097.0,44839771.0,1390712.0,0.12973,79.7763,18.0
Alicante/Alacant,2018,2924,17178,-14254,-4.8748,-8907,49,118197.0,927722.0,44839771.0,1390712.0,0.127406,79.7763,18.0
Alicante/Alacant,2019,10529,17591,-7062,-0.6707,7192,44,111420.0,1858683.0,44809109.0,1414605.0,0.059946,84.6253,14.0
Alicante/Alacant,2019,10529,17591,-7062,-0.6707,7192,44,111420.0,920915.0,44809109.0,1414605.0,0.120988,84.6253,14.0
Alicante/Alacant,2019,10529,17591,-7062,-0.6707,7192,44,111420.0,937768.0,44809109.0,1414605.0,0.118814,84.6253,14.0
Alicante/Alacant,2020,15840,14019,1821,0.115,8883,24,86088.0,1879888.0,12783912.0,675723.0,0.045794,90.8787,12.0
Alicante/Alacant,2020,15840,14019,1821,0.115,8883,24,86088.0,931856.0,12783912.0,675723.0,0.092383,90.8787,12.0
Alicante/Alacant,2020,15840,14019,1821,0.115,8883,24,86088.0,948032.0,12783912.0,675723.0,0.090807,90.8787,12.0
Alicante/Alacant,2021,9920,16495,-6575,-0.6628,-8396,47,109368.0,1881762.0,22030953.0,900237.0,0.05812,88.3214,20.0
Alicante/Alacant,2021,9920,16495,-6575,-0.6628,-8396,47,109368.0,932018.0,22030953.0,900237.0,0.117345,88.3214,20.0
Alicante/Alacant,2021,9920,16495,-6575,-0.6628,-8396,47,109368.0,949744.0,22030953.0,900237.0,0.115155,88.3214,20.0
Almería,2008,5770,12326,-6556,-1.1362,,43,42972.0,667635.0,12424974.0,382394.0,0.064365,,
Almería,2008,5770,12326,-6556,-1.1362,,43,42972.0,343716.0,12424974.0,382394.0,0.125022,,
Almería,2008,5770,12326,-6556,-1.1362,,43,42972.0,323919.0,12424974.0,382394.0,0.132663,,
Almería,2009,69311,9307,60004,0.8657,66560,1,33078.0,684426.0,11182704.0,380660.0,0.04833,,
Almería,2009,69311,9307,60004,0.8657,66560,1,33078.0,352395.0,11182704.0,380660.0,0.093866,,
Almería,2009,69311,9307,60004,0.8657,66560,1,33078.0,332031.0,11182704.0,380660.0,0.099623,,
Almería,2010,11268,9344,1924,0.1707,-58080,23,29535.0,695560.0,11477661.0,394190.0,0.042462,,
Almería,2010,11268,9344,1924,0.1707,-58080,23,29535.0,358112.0,11477661.0,394190.0,0.082474,,
Almería,2010,11268,9344,1924,0.1707,-58080,23,29535.0,337448.0,11477661.0,394190.0,0.087525,,
Almería,2011,20069,10706,9363,0.4665,7439,7,29652.0,702819.0,11013504.0,384411.0,0.04219,,
