Variable,OLS (β std),FE  (β std)
Compraventas vivienda,-0.6952781345847266,-0.05509632843959077
Cobertura 100Mbps (%),0.09920278375036014,0.03821056978361725
Compraventas per cápita,0.12036878395417462,0.02295765768642759
