province,mediana,media,n,std
barcelona,507500.0,882804.612244898,98,1076806.9683273614
valència,389000.0,532231.2653061225,98,628818.2451506488
sevilla,176600.0,409082.36734693876,98,644644.4925367363
málaga,114995.0,587748.65,100,951142.8292387904
vizcaya,80250.0,461475.83,100,585256.0419140758
madrid,6500.0,975927.4742268041,97,1418264.751611124
zaragoza,1949.0,170850.76842105263,95,231415.96765815147
