provincia,anyo,flujo_hombres,flujo_mujeres,flujo_total,ratio_feminizacion,brecha_absoluta,saldo_neto,tasa_atraccion,cob_100mbps_pct,compraventas_per_capita
Alicante/Alacant,2021,17626.0,15364.0,32990.0,46.57168839042134,-2262.0,-6575,-0.6628,88.3214,0.115155
Almería,2013,8420.0,6962.0,15382.0,45.26069431803407,-1458.0,2527,0.2472,29.916,0.035215
Almería,2013,8420.0,6962.0,15382.0,45.26069431803407,-1458.0,2527,0.2472,29.916,0.069243
Almería,2013,8420.0,6962.0,15382.0,45.26069431803407,-1458.0,2527,0.2472,29.916,0.071659
Almería,2014,8265.0,7018.0,15283.0,45.920303605313094,-1247.0,-4225,-1.2376,27.1518,0.029197
Almería,2014,8265.0,7018.0,15283.0,45.920303605313094,-1247.0,-4225,-1.2376,27.1518,0.057441
Almería,2014,8265.0,7018.0,15283.0,45.920303605313094,-1247.0,-4225,-1.2376,27.1518,0.059378
Almería,2015,9107.0,7043.0,16150.0,43.60990712074304,-2064.0,-3572,-0.7938,39.8375,0.031253
Almería,2015,9107.0,7043.0,16150.0,43.60990712074304,-2064.0,-3572,-0.7938,39.8375,0.061549
Almería,2015,9107.0,7043.0,16150.0,43.60990712074304,-2064.0,-3572,-0.7938,39.8375,0.063494
Almería,2016,8461.0,6759.0,15220.0,44.40867279894875,-1702.0,-5930,-3.5361,45.2538,0.039652
Almería,2016,8461.0,6759.0,15220.0,44.40867279894875,-1702.0,-5930,-3.5361,45.2538,0.07796
Almería,2016,8461.0,6759.0,15220.0,44.40867279894875,-1702.0,-5930,-3.5361,45.2538,0.080697
Almería,2017,8638.0,6940.0,15578.0,44.550006419309284,-1698.0,-5871,-3.061,56.4489,0.037787
Almería,2017,8638.0,6940.0,15578.0,44.550006419309284,-1698.0,-5871,-3.061,56.4489,0.074242
Almería,2017,8638.0,6940.0,15578.0,44.550006419309284,-1698.0,-5871,-3.061,56.4489,0.076955
Almería,2018,9438.0,7014.0,16452.0,42.63311451495259,-2424.0,-6277,-3.2206,65.126,0.044674
Almería,2018,9438.0,7014.0,16452.0,42.63311451495259,-2424.0,-6277,-3.2206,65.126,0.087704
Almería,2018,9438.0,7014.0,16452.0,42.63311451495259,-2424.0,-6277,-3.2206,65.126,0.091055
Almería,2019,9984.0,7078.0,17062.0,41.48399953112179,-2906.0,-4992,-1.4106,67.8442,0.044974
Almería,2019,9984.0,7078.0,17062.0,41.48399953112179,-2906.0,-4992,-1.4106,67.8442,0.088154
Almería,2019,9984.0,7078.0,17062.0,41.48399953112179,-2906.0,-4992,-1.4106,67.8442,0.091815
Almería,2020,8188.0,5818.0,14006.0,41.53934028273597,-2370.0,-3515,-1.0077,71.967,0.038372
Almería,2020,8188.0,5818.0,14006.0,41.53934028273597,-2370.0,-3515,-1.0077,71.967,0.075178
Almería,2020,8188.0,5818.0,14006.0,41.53934028273597,-2370.0,-3515,-1.0077,71.967,0.078378
Almería,2021,9286.0,6764.0,16050.0,42.14330218068536,-2522.0,-4081,-1.0347,85.7542,0.055217
Almería,2021,9286.0,6764.0,16050.0,42.14330218068536,-2522.0,-4081,-1.0347,85.7542,0.10829
Almería,2021,9286.0,6764.0,16050.0,42.14330218068536,-2522.0,-4081,-1.0347,85.7542,0.112662
Araba/Álava,2013,4166.0,3397.0,7563.0,44.91603860901758,-769.0,9907,0.7236,73.7848,0.021505
Araba/Álava,2013,4166.0,3397.0,7563.0,44.91603860901758,-769.0,9907,0.7236,73.7848,0.043302
Araba/Álava,2013,4166.0,3397.0,7563.0,44.91603860901758,-769.0,9907,0.7236,73.7848,0.042721
Araba/Álava,2014,3964.0,3370.0,7334.0,45.95036814835015,-594.0,2388,0.3947,75.0794,0.018153
Araba/Álava,2014,3964.0,3370.0,7334.0,45.95036814835015,-594.0,2388,0.3947,75.0794,0.03662
Araba/Álava,2014,3964.0,3370.0,7334.0,45.95036814835015,-594.0,2388,0.3947,75.0794,0.035997
Araba/Álava,2015,3967.0,3293.0,7260.0,45.358126721763085,-674.0,2572,0.4151,77.4934,0.017528
Araba/Álava,2015,3967.0,3293.0,7260.0,45.358126721763085,-674.0,2572,0.4151,77.4934,0.035391
Araba/Álava,2015,3967.0,3293.0,7260.0,45.358126721763085,-674.0,2572,0.4151,77.4934,0.034728
Araba/Álava,2016,3963.0,3275.0,7238.0,45.24730588560376,-688.0,37755,0.9126,83.4536,0.02052
Araba/Álava,2016,3963.0,3275.0,7238.0,45.24730588560376,-688.0,37755,0.9126,83.4536,0.041506
Araba/Álava,2016,3963.0,3275.0,7238.0,45.24730588560376,-688.0,37755,0.9126,83.4536,0.040583
Araba/Álava,2017,4064.0,3368.0,7432.0,45.31754574811625,-696.0,6742,0.6447,84.8014,0.025786
Araba/Álava,2017,4064.0,3368.0,7432.0,45.31754574811625,-696.0,6742,0.6447,84.8014,0.05219
Araba/Álava,2017,4064.0,3368.0,7432.0,45.31754574811625,-696.0,6742,0.6447,84.8014,0.050968
Araba/Álava,2018,4112.0,3532.0,7644.0,46.20617477760335,-580.0,1790,0.319,85.4273,0.028972
Araba/Álava,2018,4112.0,3532.0,7644.0,46.20617477760335,-580.0,1790,0.319,85.4273,0.058751
Araba/Álava,2018,4112.0,3532.0,7644.0,46.20617477760335,-580.0,1790,0.319,85.4273,0.057159
Araba/Álava,2019,4286.0,3550.0,7836.0,45.30372639101582,-736.0,3161,0.4465,90.4127,0.029941
Araba/Álava,2019,4286.0,3550.0,7836.0,45.30372639101582,-736.0,3161,0.4465,90.4127,0.060716
Araba/Álava,2019,4286.0,3550.0,7836.0,45.30372639101582,-736.0,3161,0.4465,90.4127,0.059072
Araba/Álava,2020,3756.0,3282.0,7038.0,46.632566069906225,-474.0,-446,-0.1451,91.7007,0.030365
Araba/Álava,2020,3756.0,3282.0,7038.0,46.632566069906225,-474.0,-446,-0.1451,91.7007,0.061632
Araba/Álava,2020,3756.0,3282.0,7038.0,46.632566069906225,-474.0,-446,-0.1451,91.7007,0.059853
Araba/Álava,2021,4250.0,3642.0,7892.0,46.14799797263051,-608.0,-404,-0.1141,95.8548,0.03132
Araba/Álava,2021,4250.0,3642.0,7892.0,46.14799797263051,-608.0,-404,-0.1141,95.8548,0.063616
Araba/Álava,2021,4250.0,3642.0,7892.0,46.14799797263051,-608.0,-404,-0.1141,95.8548,0.061692
Asturias,2013,8108.0,7692.0,15800.0,48.68354430379747,-416.0,-4229,-1.1501,79.2007,0.013846
Asturias,2013,8108.0,7692.0,15800.0,48.68354430379747,-416.0,-4229,-1.1501,79.2007,0.028924
Asturias,2013,8108.0,7692.0,15800.0,48.68354430379747,-416.0,-4229,-1.1501,79.2007,0.026562
Asturias,2014,8289.0,7778.0,16067.0,48.409784029376986,-511.0,-1455,-0.2213,79.0948,0.013837
Asturias,2014,8289.0,7778.0,16067.0,48.409784029376986,-511.0,-1455,-0.2213,79.0948,0.028923
Asturias,2014,8289.0,7778.0,16067.0,48.409784029376986,-511.0,-1455,-0.2213,79.0948,0.026526
Asturias,2015,7891.0,7850.0,15741.0,49.86976685089893,-41.0,-4775,-1.5438,79.3252,0.015722
Asturias,2015,7891.0,7850.0,15741.0,49.86976685089893,-41.0,-4775,-1.5438,79.3252,0.032911
Asturias,2015,7891.0,7850.0,15741.0,49.86976685089893,-41.0,-4775,-1.5438,79.3252,0.030101
Asturias,2016,7554.0,7436.0,14990.0,49.60640426951301,-118.0,5102,0.4051,79.4229,0.018456
Asturias,2016,7554.0,7436.0,14990.0,49.60640426951301,-118.0,5102,0.4051,79.4229,0.03865
Asturias,2016,7554.0,7436.0,14990.0,49.60640426951301,-118.0,5102,0.4051,79.4229,0.035322
Asturias,2017,7436.0,7138.0,14574.0,48.97763139838068,-298.0,-3413,-0.881,79.8426,0.022726
Asturias,2017,7436.0,7138.0,14574.0,48.97763139838068,-298.0,-3413,-0.881,79.8426,0.04762
Asturias,2017,7436.0,7138.0,14574.0,48.97763139838068,-298.0,-3413,-0.881,79.8426,0.043471
Asturias,2018,7488.0,7300.0,14788.0,49.36434947254531,-188.0,455,0.058,80.3419,0.02604
Asturias,2018,7488.0,7300.0,14788.0,49.36434947254531,-188.0,455,0.058,80.3419,0.054561
Asturias,2018,7488.0,7300.0,14788.0,49.36434947254531,-188.0,455,0.058,80.3419,0.049813
Asturias,2019,7626.0,7232.0,14858.0,48.67411495490645,-394.0,-2940,-0.6549,79.9184,0.024453
Asturias,2019,7626.0,7232.0,14858.0,48.67411495490645,-394.0,-2940,-0.6549,79.9184,0.051238
Asturias,2019,7626.0,7232.0,14858.0,48.67411495490645,-394.0,-2940,-0.6549,79.9184,0.046779
Asturias,2020,6318.0,5812.0,12130.0,47.91426215993405,-506.0,5034,0.4536,82.4247,0.022459
Asturias,2020,6318.0,5812.0,12130.0,47.91426215993405,-506.0,5034,0.4536,82.4247,0.047074
Asturias,2020,6318.0,5812.0,12130.0,47.91426215993405,-506.0,5034,0.4536,82.4247,0.042951
Asturias,2021,7186.0,6790.0,13976.0,48.583285632512876,-396.0,6066,0.4647,77.4915,0.027889
Asturias,2021,7186.0,6790.0,13976.0,48.583285632512876,-396.0,6066,0.4647,77.4915,0.058463
Asturias,2021,7186.0,6790.0,13976.0,48.583285632512876,-396.0,6066,0.4647,77.4915,0.053329
Badajoz,2013,6499.0,6254.0,12753.0,49.03944169999216,-245.0,-1928,-0.433,26.9287,0.013229
Badajoz,2013,6499.0,6254.0,12753.0,49.03944169999216,-245.0,-1928,-0.433,26.9287,0.026654
