CCAA,año,tasa_paro,compraventas,ipv_vivienda
Castilla - La Mancha,2008,,34113.0,149.30765000000002
Castilla - La Mancha,2009,,21053.0,141.39659999999998
Castilla - La Mancha,2010,,20481.0,137.98409999999998
Castilla - La Mancha,2011,,16421.0,127.8243
Castilla - La Mancha,2012,,16390.0,110.85754999999999
Castilla - La Mancha,2013,,14173.0,98.32849999999999
Castilla - La Mancha,2014,,12046.0,97.41245
Castilla - La Mancha,2015,,11941.0,100.0
Castilla - La Mancha,2016,,13390.0,103.22335000000001
Castilla - La Mancha,2017,,16473.0,107.44324999999999
Castilla - La Mancha,2018,,18987.0,113.303
Castilla - La Mancha,2019,,20190.0,118.69775
Castilla - La Mancha,2020,,17665.0,121.5112
Castilla - La Mancha,2021,15.65,23422.0,126.4002
Castilla - La Mancha,2022,14.2925,26864.0,135.77545
Castilla - La Mancha,2023,13.0825,25371.0,141.11790000000002
Castilla - La Mancha,2024,,30032.0,152.9186
Castilla - La Mancha,2025,,35337.0,172.50125
Castilla - La Mancha,2026,,2766.0,
Castilla y León,2007,,40464.0,149.35250000000002
Castilla y León,2008,,30469.0,149.30765000000002
Castilla y León,2009,,22740.0,141.39659999999998
Castilla y León,2010,,24990.0,137.98409999999998
Castilla y León,2011,,19557.0,127.8243
Castilla y León,2012,,16017.0,110.85754999999999
Castilla y León,2013,,14713.0,98.32849999999999
Castilla y León,2014,,14322.0,97.41245
Castilla y León,2015,,15226.0,100.0
Castilla y León,2016,,16712.0,103.22335000000001
Castilla y León,2017,,18580.0,107.44324999999999
Castilla y León,2018,,20520.0,113.303
Castilla y León,2019,,20715.0,118.69775
Castilla y León,2020,,18437.0,121.5112
Castilla y León,2021,11.4025,25039.0,126.4002
Castilla y León,2022,9.7525,27988.0,135.77545
Castilla y León,2023,9.5775,26948.0,141.11790000000002
Castilla y León,2024,,30670.0,152.9186
Castilla y León,2025,,36457.0,172.50125
Castilla y León,2026,,2687.0,
Cataluña,2007,,111482.0,149.35250000000002
Cataluña,2008,,62136.0,149.30765000000002
Cataluña,2009,,45686.0,141.39659999999998
Cataluña,2010,,55857.0,137.98409999999998
Cataluña,2011,,47076.0,127.8243
Cataluña,2012,,43015.0,110.85754999999999
Cataluña,2013,,45408.0,98.32849999999999
Cataluña,2014,,47865.0,97.41245
Cataluña,2015,,55373.0,100.0
Cataluña,2016,,67214.0,103.22335000000001
Cataluña,2017,,77910.0,107.44324999999999
Cataluña,2018,,81685.0,113.303
Cataluña,2019,,81006.0,118.69775
Cataluña,2020,,65886.0,121.5112
Cataluña,2021,11.565,89175.0,126.4002
Cataluña,2022,9.685,102637.0,135.77545
Cataluña,2023,9.07,91878.0,141.11790000000002
Cataluña,2024,,98840.0,152.9186
Cataluña,2025,,112578.0,172.50125
Cataluña,2026,,9765.0,
Ceuta,2007,,463.0,149.35250000000002
Ceuta,2008,,371.0,149.30765000000002
Ceuta,2009,,334.0,141.39659999999998
Ceuta,2010,,498.0,137.98409999999998
Ceuta,2011,,327.0,127.8243
Ceuta,2012,,289.0,110.85754999999999
Ceuta,2013,,238.0,98.32849999999999
Ceuta,2014,,326.0,97.41245
Ceuta,2015,,354.0,100.0
Ceuta,2016,,364.0,103.22335000000001
Ceuta,2017,,438.0,107.44324999999999
Ceuta,2018,,424.0,113.303
Ceuta,2019,,834.0,118.69775
Ceuta,2020,,323.0,121.5112
Ceuta,2021,26.6625,308.0,126.4002
Ceuta,2022,28.3325,498.0,135.77545
Ceuta,2023,26.87,453.0,141.11790000000002
Ceuta,2024,,577.0,152.9186
Ceuta,2025,,680.0,172.50125
Ceuta,2026,,63.0,
Comunitat Valenciana,2007,,110717.0,149.35250000000002
Comunitat Valenciana,2008,,73153.0,149.30765000000002
Comunitat Valenciana,2009,,53187.0,141.39659999999998
Comunitat Valenciana,2010,,57220.0,137.98409999999998
Comunitat Valenciana,2011,,46958.0,127.8243
Comunitat Valenciana,2012,,46252.0,110.85754999999999
Comunitat Valenciana,2013,,45546.0,98.32849999999999
Comunitat Valenciana,2014,,46511.0,97.41245
Comunitat Valenciana,2015,,51454.0,100.0
Comunitat Valenciana,2016,,58008.0,103.22335000000001
Comunitat Valenciana,2017,,68685.0,107.44324999999999
Comunitat Valenciana,2018,,78775.0,113.303
Comunitat Valenciana,2019,,75431.0,118.69775
Comunitat Valenciana,2020,,59364.0,121.5112
Comunitat Valenciana,2021,15.922500000000001,80269.0,126.4002
Comunitat Valenciana,2022,13.1725,100457.0,135.77545
Comunitat Valenciana,2023,12.605,96162.0,141.11790000000002
Comunitat Valenciana,2024,,104177.0,152.9186
Comunitat Valenciana,2025,,110569.0,172.50125
Comunitat Valenciana,2026,,8675.0,
Extremadura,2007,,13396.0,149.35250000000002
Extremadura,2008,,13952.0,149.30765000000002
Extremadura,2009,,11168.0,141.39659999999998
Extremadura,2010,,10125.0,137.98409999999998
Extremadura,2011,,8091.0,127.8243
Extremadura,2012,,6600.0,110.85754999999999
Extremadura,2013,,5487.0,98.32849999999999
Extremadura,2014,,5363.0,97.41245
Extremadura,2015,,5311.0,100.0
Extremadura,2016,,6194.0,103.22335000000001
Extremadura,2017,,6724.0,107.44324999999999
Extremadura,2018,,7311.0,113.303
Extremadura,2019,,7679.0,118.69775
Extremadura,2020,,7347.0,121.5112
Extremadura,2021,19.5575,9364.0,126.4002
Extremadura,2022,17.295,10385.0,135.77545
Extremadura,2023,17.3425,9795.0,141.11790000000002
Extremadura,2024,,11033.0,152.9186
Extremadura,2025,,12814.0,172.50125
Extremadura,2026,,1005.0,
Galicia,2007,,28830.0,149.35250000000002
Galicia,2008,,26590.0,149.30765000000002
Galicia,2009,,21292.0,141.39659999999998
Galicia,2010,,22570.0,137.98409999999998
Galicia,2011,,16437.0,127.8243
Galicia,2012,,14534.0,110.85754999999999
Galicia,2013,,12568.0,98.32849999999999
Galicia,2014,,11966.0,97.41245
Galicia,2015,,12537.0,100.0
Galicia,2016,,13431.0,103.22335000000001
Galicia,2017,,14672.0,107.44324999999999
Galicia,2018,,16516.0,113.303
Galicia,2019,,17108.0,118.69775
Galicia,2020,,15215.0,121.5112
Galicia,2021,11.66,19815.0,126.4002
Galicia,2022,11.0175,21864.0,135.77545
Galicia,2023,9.73,19329.0,141.11790000000002
Galicia,2024,,23666.0,152.9186
Galicia,2025,,26978.0,172.50125
Galicia,2026,,2263.0,
"Madrid, Comunidad de",2007,,84930.0,149.35250000000002
"Madrid, Comunidad de",2008,,59294.0,149.30765000000002
"Madrid, Comunidad de",2009,,51724.0,141.39659999999998
"Madrid, Comunidad de",2010,,60678.0,137.98409999999998
"Madrid, Comunidad de",2011,,49204.0,127.8243
"Madrid, Comunidad de",2012,,41028.0,110.85754999999999
"Madrid, Comunidad de",2013,,41378.0,98.32849999999999
"Madrid, Comunidad de",2014,,44488.0,97.41245
"Madrid, Comunidad de",2015,,51885.0,100.0
"Madrid, Comunidad de",2016,,59059.0,103.22335000000001
"Madrid, Comunidad de",2017,,70412.0,107.44324999999999
"Madrid, Comunidad de",2018,,76603.0,113.303
"Madrid, Comunidad de",2019,,71795.0,118.69775
